x y displacement_x displacement_y
-940000 100000 28.7733936441749 1e-12
-940000 140000 28.8120122175742 1e-12
-940000 180000 28.8631061917464 1e-12
-940000 220000 28.9263488643837 1e-12
-940000 260000 29.0013483233097 1e-12
-940000 300000 29.0876569828192 1e-12
-940000 340000 29.184781780871 1e-12
-940000 380000 29.2921945674413 1e-12
-940000 420000 29.409342264894 1e-12
-940000 460000 29.5356564543861 1e-12
-940000 500000 29.6705621272006 1e-12
-940000 540000 29.813485426573 1e-12
-940000 580000 29.9638602862234 1e-12
-940000 620000 30.121133941148 1e-12
-940000 660000 30.2847713415019 1e-12
-940000 700000 30.4542585409672 1e-12
-940000 740000 30.6291051577534 1e-12
-940000 780000 30.8088460211988 1e-12
-940000 820000 30.993042122145 1e-12
-940000 860000 31.1812809832628 1e-12
-940000 900000 31.373176558508 1e-12
-940000 940000 31.5683687607779 1e-12
-940000 980000 31.7665227051187 1e-12
-900000 -980000 -31.2973592873597 1e-12
-900000 -940000 -31.0919716092445 1e-12
-900000 -900000 -30.8893997447381 1e-12
-900000 -860000 -30.6899894456692 1e-12
-900000 -820000 -30.4941146815316 1e-12
-900000 -780000 -30.3021788081745 1e-12
-900000 -740000 -30.1146154663677 1e-12
-900000 -700000 -29.9318891094702 1e-12
-900000 -660000 -29.7544950425591 1e-12
-900000 -620000 -29.5829588393803 1e-12
-900000 -580000 -29.4178349901353 1e-12
-900000 -540000 -29.2597046248112 1e-12
-900000 -500000 -29.1091721564258 1e-12
-900000 -460000 -28.9668606996694 1e-12
-900000 -420000 -28.8334061465765 1e-12
-900000 -380000 -28.7094498254007 1e-12
-900000 -340000 -28.5956297340988 1e-12
-900000 -300000 -28.4925704261625 1e-12
-900000 -260000 -28.4008717314879 1e-12
-900000 -220000 -28.3210966123839 1e-12
-900000 -180000 -28.2537585744569 1e-12
-900000 -140000 -28.1993091600848 1e-12
-900000 -100000 -28.1581261323848 1e-12
-900000 -60000 -28.130502994046 1e-12
-900000 -20000 -28.1166404655928 1e-12
-900000 20000 28.1166404655928 1e-12
-900000 60000 28.130502994046 1e-12
-900000 100000 28.1581261323848 1e-12
-900000 140000 28.1993091600848 1e-12
-900000 180000 28.2537585744569 1e-12
-900000 220000 28.3210966123839 1e-12
-900000 260000 28.4008717314879 1e-12
-900000 300000 28.4925704261625 1e-12
-900000 340000 28.5956297340988 1e-12
-900000 380000 28.7094498254007 1e-12
-900000 420000 28.8334061465765 1e-12
-900000 460000 28.9668606996694 1e-12
-900000 500000 29.1091721564258 1e-12
-900000 540000 29.2597046248112 1e-12
-900000 580000 29.4178349901353 1e-12
-900000 620000 29.5829588393803 1e-12
-900000 660000 29.7544950425591 1e-12
-900000 700000 29.9318891094702 1e-12
-900000 740000 30.1146154663677 1e-12
-900000 780000 30.3021788081745 1e-12
-900000 820000 30.4941146815316 1e-12
-900000 860000 30.6899894456692 1e-12
-900000 900000 30.8893997447381 1e-12
-900000 940000 31.0919716092445 1e-12
-900000 980000 31.2973592873597 1e-12
-860000 -980000 -30.8257031783068 1e-12
-860000 -940000 -30.6127631244666 1e-12
-860000 -900000 -30.4024660735613 1e-12
-860000 -860000 -30.1951672782913 1e-12
-860000 -820000 -29.991253407842 1e-12
-860000 -780000 -29.791144212521 1e-12
-860000 -740000 -29.5952939492403 1e-12
-860000 -700000 -29.4041924540861 1e-12
-860000 -660000 -29.2183657249681 1e-12
-860000 -620000 -29.0383758536967 1e-12
-860000 -580000 -28.8648201247749 1e-12
-860000 -540000 -28.6983290805794 1e-12
