x(mm) y(mm) z(mm) displacement_x displacement_y displacement_z
-900 59.9999999999999 0 0.0146762752939623 0.0073515107377927 0.028130502994046
-900 100 0 0.0148678560527208 0.00744402019210965 0.0281581261323848
-900 140 0 0.015073894287999 0.00753375919051733 0.0281993091600848
-900 180 0 0.0152933765292542 0.00762018754806839 0.0282537585744569
-900 220 0 0.0155251898845964 0.00770286529896867 0.0283210966123839
-900 260 0 0.0157681550159361 0.00778145787307614 0.0284008717314879
-900 300 0 0.0160210586494879 0.00785573596222012 0.0284925704261625
-900 340 0 0.0162826838346818 0.0079255707251888 0.0285956297340988
-900 380 0 0.0165518365911994 0.00799092527488823 0.0287094498254007
-900 420 0 0.016827368072754 0.0080518435360527 0.0288334061465765
-900 460 0 0.0171081918553585 0.00810843756814363 0.0289668606996694
-900 500 0 0.01739329637283 0.00816087434551673 0.0291091721564258
-900 540 0 0.0176817528413596 0.008209362813954 0.0292597046248112
-900 580 0 0.0179727192278706 0.00825414183727315 0.0294178349901353
-900 620 0 0.0182654409301311 0.00829546944146105 0.0295829588393803
-900 660 0 0.0185592488671952 0.00833361357873157 0.0297544950425591
-900 700 0 0.0188535556483209 0.00836884448254258 0.0299318891094702
-900 740 0 0.0191478504185793 0.00840142857125938 0.0301146154663677
-900 780 0 0.0194416928885919 0.00843162378133037 0.0303021788081745
-900 820 0 0.0197347069586064 0.00845967616555336 0.0304941146815316
-900 860 0 0.020026574253435 0.00848581757171132 0.0306899894456692
-900 900 0 0.0203170278007064 0.00851026421483158 0.0308893997447381
-900 940 0 0.0206058460134149 0.00853321596653971 0.0310919716092445
-900 980 0 0.0208928470796597 0.0085548562024895 0.0312973592873597
-860 -980 0 -0.014373264746256 -0.0056738179058322 -0.0308257031783068
-860 -940 0 -0.0142646640432866 -0.00567623399685726 -0.0306127631244666
-860 -900 0 -0.0141590882059238 -0.0056821157369715 -0.0304024660735613
-860 -860 0 -0.0140569818468695 -0.00569170998082058 -0.0301951672782913
-860 -820 0 -0.0139588389240718 -0.00570526995780502 -0.029991253407842
-860 -780 0 -0.0138652064536048 -0.00572305230894178 -0.029791144212521
-860 -740 0 -0.0137766878884069 -0.00574531320752465 -0.0295952939492403
-860 -700 0 -0.0136939459098271 -0.0057723034268712 -0.0294041924540861
-860 -660 0 -0.0136177043116777 -0.00580426223120069 -0.0292183657249681
-860 -620 0 -0.0135487485844821 -0.00584140999541773 -0.0290383758536967
-860 -580 0 -0.013487924736416 -0.00588393951188644 -0.0288648201247749
-860 -540 0 -0.0134361358258774 -0.00593200602273043 -0.0286983290805794
-860 -500 0 -0.0133943356413132 -0.00598571612920755 -0.0285395633432579
-860 -460 0 -0.0133635189633746 -0.00604511587692078 -0.0283892089873503
-860 -420 0 -0.0133447079022342 -0.0061101784937489 -0.0282479712792537
-860 -380 0 -0.0133389339394709 -0.00618079245578684 -0.028116566645694
-860 -340 0 -0.0133472155368319 -0.00625675075520528 -0.0279957128079924
-860 -300 0 -0.0133705315123475 -0.00633774241232799 -0.0278861171245621
-860 -260 0 -0.0134097908211312 -0.00642334737298457 -0.0277884633194308
-860 -220 0 -0.0134657998850569 -0.0065130359178186 -0.0277033969330155
-860 -180 0 -0.0135392291375917 -0.00660617354388442 -0.0276315099998971
-860 -140 0 -0.0136305809080659 -0.00670203193831113 -0.0275733256176802
-860 -100 0 -0.0137401610694371 -0.00679980615589349 -0.0275292831973278
-860 -59.9999999999999 0 -0.013868056924333 -0.00689863748193065 -0.0274997252537005
-860 -20 0 -0.0140141235423376 -0.00699764079147782 -0.0274848865844554
-860 20 0 0.0141779801743797 0.00709593461627162 0.0274848865844554
-860 59.9999999999999 0 0.0143590175099761 0.00719267171496661 0.0274997252537005
-860 100 0 0.0145564155252387 0.00728706780043816 0.0275292831973278
-860 140 0 0.0147691706510751 0.00737842624896982 0.0275733256176802
-860 180 0 0.0149961301355186 0.00746615707586511 0.0276315099998971
-860 220 0 0.0152360309127598 0.00754978912739154 0.0277033969330155
-860 260 0 0.0154875400931323 0.00762897518981268 0.0277884633194308
-860 300 0 0.0157492943483449 0.00770349042610743 0.0278861171245621
-860 340 0 0.0160199359155388 0.00777322511655032 0.0279957128079924
-860 380 0 0.016298143573103 0.00783817303992007 0.028116566645694
-860 420 0 0.0165826576312973 0.00789841697461733 0.0282479712792537
-860 460 0 0.0168722986280923 0.00795411275026918 0.0283892089873503
-860 500 0 0.0171659799534737 0.00800547309212503 0.0285395633432579
-860 540 0 0.0174627150083204 0.00805275223255985 0.0286983290805794
-860 580 0 0.017761619733221 0.00809623197101288 0.0288648201247749
-860 620 0 0.0180619114370495 0.00813620958735154 0.0290383758536967
-860 660 0 0.0183629048454447 0.00817298777994904 0.0292183657249681
-860 700 0 0.0186640062092231 0.0082068666203587 0.0294041924540861
-860 740 0 0.018964706192811 0.0082381373921129 0.0295952939492403
-860 780 0 0.0192645721274114 0.00826707810569989 0.029791144212521
-860 820 0 0.0195632400800666 0.00829395044560477 0.029991253407842
-860 860 0 0.0198604070687559 0.00831899789807569 0.0301951672782913
-860 900 0 0.0201558236506028 0.00834244482046905 0.0304024660735613
-860 940 0 0.0204492870268154 0.00836449623677536 0.0306127631244666
-860 980 0 0.0207406347433667 0.00838533817326081 0.0308257031783068
-820 -980 0 -0.014165092399833 -0.00554159259950399 -0.0303517343344479
-820 -940 0 -0.0140507655121642 -0.0055402221201807 -0.0301309165728712
-820 -900 0 -0.0139392003043465 -0.00554228151448091 -0.0299125393868175
-820 -860 0 -0.0138308404687818 -0.00554803788225562 -0.0296969657061483
-820 -820 0 -0.0137261829958863 -0.0055577686310845 -0.0294845932198116
-820 -780 0 -0.0136257829501096 -0.00557175883042411 -0.0292758566281794
-820 -740 0 -0.0135302580721794 -0.00559029756217694 -0.0290712297089164
-820 -700 0 -0.0134402929452045 -0.00561367308070124 -0.0288712270713718
-820 -660 0 -0.013356642377335 -0.00564216659662333 -0.0286764054436401
-820 -620 0 -0.013280133557235 -0.005676044518298 -0.028487364303191
-820 -580 0 -0.0132116664356764 -0.00571554903031605 -0.0283047456283453
-820 -540 0 -0.0131522116863483 -0.00576088696889948 -0.0281292325171285
-820 -500 0 -0.0131028055162377 -0.00581221707788694 -0.0279615463968806
-820 -460 0 -0.0130645405517158 -0.00586963590250568 -0.0278024425387502
-820 -420 0 -0.0130385520480056 -0.00593316280212509 -0.0276527036036086
-820 -380 0 -0.0130259987884813 -0.00600272482937461 -0.0275131309886086
-820 -340 0 -0.0130280382874188 -0.00607814250979941 -0.0273845338248977
